4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
44031,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,35209,20.9,20
44032,2019-08-02,2019-08-02,13.52,9.39,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95951631,1,31830,45.92,29
44033,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,85224,23.7,22
44034,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,75208,25.9,22
44035,2019-08-02,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710391942996,1,63110,55.69,39
44037,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,1,85741,88.9,85
44038,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,1,43950,102.9,99
44039,2019-08-02,2019-08-02,33.62,23.35,UPS/UPS 3 Day Select,1Z1A1V711294912586,4.81,90015,167.62,134
44040,2019-08-02,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95027096,1.75,39110,162.71,151
44041,2019-08-02,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710392909360,2,30605,110.91,86
44042,2019-08-02,2019-08-02,16.7,11.6,UPS/UPS Ground,1Z1A1V710398423918,0.69,34684,87.8,79
44043,2019-08-02,2019-08-02,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98207949,1.69,55409,125.94,114
44044,2019-08-02,2019-08-02,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710292968558,1.88,64108,301.71,279
44045,2019-08-02,2019-08-02,11.94,11.6,UPS/UPS Ground,1Z1A1V710394661329,1.06,2886,50.94,39
44046,2019-08-02,2019-08-02,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710291112509,1.25,19067,124.71,102
44047,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,91405,23.9,20
44048,2019-08-02,2019-08-02,16.72,11.61,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94344487,1.38,95656,195.72,179
44050,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,25015,21.9,18
44051,2019-08-02,2019-08-02,16.7,11.6,UPS/UPS Ground,1Z1A1V710390136458,1,33578,52.7,36
44052,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,85705,66,69
44053,2019-08-02,2019-08-02,12.28,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97903019,2,33401,86.28,74
44054,2019-08-02,2019-08-02,12.12,8.42,UPS/UPS Ground,1Z1A1V710394181419,0.13,78759,34.12,22
44055,2019-08-02,2019-08-02,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99734707,1.5,97124,142.09,129
44056,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,55421,102.9,99
44057,2019-08-02,2019-08-02,11.94,11.6,UPS/UPS Ground,1Z1A1V710397439805,1.06,78613,50.94,39
44059,2019-08-02,2019-08-02,11.71,11.59,UPS/UPS Ground,1Z1A1V710395255589,1.19,33133,69.71,58
44060,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,10014,122.9,119
44061,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,18938,25.9,22
44087,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,84058,25.9,22
44063,2019-08-02,2019-08-02,11.94,11.6,UPS/UPS Ground,1Z1A1V710397128525,2,11219,121.94,110
44064,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,30548,65.77,57
44065,2019-08-02,2019-08-02,21.1,14.65,UPS/UPS Ground,1Z1A1V710393909377,0,95446,50.1,29
44066,2019-08-02,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91288535,1.63,48111,96.31,94
44067,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,79934,48.9,45
44068,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,33309,25.9,22
44071,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.56,32068,28.9,25
44072,2019-08-02,2019-08-02,16.7,11.6,UPS/UPS Ground,1Z1A1V710394582898,0.5,60613,61.7,45
44073,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,34638,25.9,22
44074,2019-08-02,2019-08-02,16.7,11.6,UPS/UPS Ground,1Z1A1V710393805265,0.81,30308,170.32,141
44076,2019-08-02,2019-08-02,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91080437,1,12208,136.94,125
44075,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,43232,25.9,22
44077,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,76201,25.9,22
44079,2019-08-02,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710391822848,1,98028,115.69,99
